v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,class,file
47,48,42,55,35,58,30,57,26,56,21,51,18,43,20,44,26,51,31,53,35,53,45,48,18,43,22,43,26,43,30,45,35,44,41,45,47,48,45,48,35,47,30,47,26,46,20,44,1,1
48,51,43,54,38,55,34,55,29,54,23,53,18,49,20,49,30,51,34,51,38,51,46,51,18,49,24,46,31,45,35,46,39,46,44,48,48,51,46,51,39,48,35,48,30,48,20,49,1,2
46,49,42,54,36,56,32,56,28,55,22,52,18,47,19,47,28,52,33,52,37,52,45,49,18,47,23,44,29,43,33,44,37,43,42,45,46,49,45,49,37,46,33,46,29,45,19,47,1,3
46,46,40,53,34,56,30,57,25,56,19,52,14,44,16,46,26,53,30,54,35,53,44,47,14,44,20,46,26,47,30,48,35,47,40,46,46,46,44,47,35,48,30,49,26,48,16,46,1,4
49,50,44,56,38,59,33,59,28,58,22,54,16,48,18,49,29,53,33,54,38,54,47,51,16,48,23,47,29,47,33,48,38,47,44,48,49,50,47,51,38,50,33,51,29,50,18,49,1,5
44,51,39,54,33,55,28,55,25,55,21,54,17,50,19,50,25,51,29,51,33,51,43,51,17,50,21,49,25,48,28,49,33,48,39,49,44,51,43,51,33,51,28,51,25,50,19,50,1,6
50,44,46,52,39,55,34,56,29,56,21,53,15,45,17,46,29,52,34,52,39,51,48,44,15,45,22,42,29,41,33,42,38,40,45,41,50,44,48,44,38,43,33,44,29,44,17,46,1,7
49,47,44,53,39,56,34,56,29,56,23,54,17,47,19,48,30,51,34,52,39,51,47,48,17,47,23,45,30,45,35,46,39,45,44,45,49,47,47,48,39,47,34,48,30,47,19,48,1,8
46,45,41,52,35,55,31,55,27,55,22,52,17,45,19,45,28,50,32,50,35,50,44,46,17,45,23,44,28,44,32,45,35,44,40,45,46,45,44,46,35,47,32,47,28,46,19,45,1,9
49,47,44,53,39,56,34,57,30,56,23,54,18,48,19,48,30,52,34,52,39,52,47,47,18,48,24,45,30,44,35,45,39,44,44,45,49,47,47,47,39,47,34,48,30,47,19,48,1,10
45,45,40,54,34,57,30,57,26,57,23,53,22,46,23,46,26,51,29,52,33,52,43,45,22,46,22,43,25,41,28,42,32,41,38,42,45,45,43,45,32,44,29,45,26,44,23,46,1,11
48,44,43,51,37,54,31,55,26,54,20,51,15,44,16,45,26,50,31,51,36,51,46,45,15,44,20,43,26,43,31,43,36,42,42,43,48,44,46,45,36,45,31,45,26,45,16,45,1,12
46,47,41,52,36,55,32,55,27,54,21,51,16,44,18,45,28,50,32,51,37,51,44,47,16,44,23,44,29,44,33,45,37,45,42,45,46,47,44,47,37,47,33,47,28,46,18,45,1,13
44,48,39,53,34,55,29,55,24,55,18,52,13,46,15,46,24,51,29,52,34,52,42,48,13,46,19,44,26,44,30,45,35,45,40,46,44,48,42,48,35,47,30,47,25,46,15,46,1,14
48,49,43,54,37,56,33,56,29,56,24,55,19,51,21,51,29,53,33,53,37,52,46,49,19,51,23,48,28,46,32,47,36,46,42,47,48,49,46,49,36,49,32,49,28,49,21,51,1,15
41,46,36,53,31,56,27,56,22,55,16,52,10,43,12,44,23,51,27,51,32,51,39,47,10,43,18,43,25,44,29,45,33,45,37,45,41,46,39,47,33,47,28,47,24,46,12,44,1,16
49,43,43,51,37,55,31,56,26,56,19,52,14,44,16,45,26,51,31,51,37,50,47,44,14,44,20,43,26,43,31,44,37,43,43,42,49,43,47,44,37,45,31,46,26,46,16,45,1,17
45,46,41,52,35,55,31,56,26,55,21,52,16,45,18,46,27,51,31,52,36,51,44,47,16,45,21,44,27,43,32,44,36,43,41,44,45,46,44,47,36,46,31,46,27,46,18,46,1,18
45,49,38,53,31,54,26,54,22,53,17,51,13,46,15,47,23,49,27,50,32,50,43,49,13,46,18,46,23,46,27,47,32,47,38,48,45,49,43,49,32,49,27,49,23,48,15,47,1,19
49,48,43,54,35,57,30,57,24,57,17,53,11,46,13,46,25,51,31,51,36,51,47,48,11,46,18,44,26,44,31,45,36,44,43,45,49,48,47,48,36,48,31,48,26,48,13,46,1,20
51,43,45,51,38,55,32,56,27,55,21,52,14,45,17,45,27,50,32,50,38,50,48,44,14,45,21,43,27,43,32,44,37,42,44,42,51,43,48,44,37,46,32,47,27,46,17,45,1,21
49,44,43,53,36,56,31,56,26,55,20,51,15,42,17,43,26,51,31,52,36,52,48,45,15,42,20,42,27,42,31,43,36,42,43,43,49,44,48,45,36,45,31,46,26,45,17,43,1,22
49,47,43,54,37,56,33,57,28,56,22,53,16,46,18,46,28,52,33,53,38,53,47,47,16,46,22,44,29,43,33,44,38,44,43,45,49,47,47,47,38,46,33,46,29,45,18,46,1,23
53,46,47,56,40,61,34,61,29,60,22,55,17,44,19,45,29,54,34,55,39,55,51,46,17,44,23,42,30,43,34,44,40,44,47,44,53,46,51,46,39,46,34,46,30,45,19,45,1,24
45,50,40,54,34,55,29,55,24,55,18,53,13,47,15,48,25,50,30,51,35,51,43,50,13,47,19,45,26,45,30,47,35,46,41,47,45,50,43,50,35,49,30,49,25,48,15,48,1,25
47,46,43,51,38,54,33,54,29,54,24,52,19,47,21,47,29,49,33,49,37,49,45,46,19,47,24,43,29,40,33,41,37,40,42,42,47,46,45,46,37,44,33,44,29,44,21,47,1,26
46,47,41,53,36,55,31,55,26,54,20,51,16,45,17,46,26,49,31,50,36,50,44,47,16,45,21,44,27,43,31,44,36,43,42,45,46,47,44,47,36,46,31,46,27,46,17,46,1,27
46,48,41,54,37,55,33,55,28,55,23,53,18,47,20,48,29,51,33,51,37,51,44,49,18,47,23,47,29,46,33,48,36,46,41,47,46,48,44,49,36,49,33,50,28,49,20,48,1,28
49,43,45,50,39,54,34,55,29,54,22,52,16,45,17,45,29,50,34,50,39,50,47,44,16,45,22,43,29,42,33,42,38,41,44,41,49,43,47,44,38,44,33,45,29,45,17,45,1,29
44,45,37,50,31,52,27,53,22,52,17,49,12,42,14,43,23,48,28,48,32,48,42,46,12,42,18,44,24,45,28,46,32,45,38,45,44,45,42,46,32,48,28,48,23,47,14,43,1,30
52,49,46,57,38,60,33,61,28,60,23,56,19,48,21,49,28,53,33,54,38,54,50,49,19,48,23,46,28,45,32,46,37,45,45,46,52,49,50,49,37,49,33,50,28,49,21,49,1,31
48,49,42,54,37,56,32,56,28,55,22,52,18,46,19,46,28,51,32,52,37,52,46,49,18,46,23,44,29,44,33,45,37,45,43,46,48,49,46,49,37,47,33,47,29,46,19,46,1,32
49,46,45,53,39,56,35,56,30,56,24,52,19,44,21,44,31,51,35,52,40,51,47,46,19,44,25,43,32,43,36,44,40,43,45,44,49,46,47,46,40,45,36,45,31,45,21,44,1,33
47,47,41,54,34,57,29,57,25,56,21,52,17,45,19,46,26,51,29,52,34,52,46,47,17,45,21,44,26,43,29,44,34,44,41,45,47,47,46,47,34,46,29,46,26,46,19,46,1,34
47,49,43,54,38,57,34,58,30,58,24,56,21,50,23,51,30,52,34,52,38,51,45,50,21,50,25,48,30,47,34,48,38,46,42,47,47,49,45,50,38,50,34,50,30,50,23,51,1,35
48,48,43,56,37,58,32,59,27,58,20,55,15,46,16,47,27,53,32,54,37,54,46,49,15,46,21,45,28,45,33,46,38,45,43,46,48,48,46,49,38,48,33,48,28,48,16,47,1,36
43,49,38,53,33,56,30,56,26,56,22,54,18,50,19,50,26,52,30,52,33,52,41,49,18,50,22,48,26,47,30,48,33,46,38,47,43,49,41,49,33,49,30,50,26,50,19,50,1,37
51,47,45,56,38,59,33,59,27,58,20,55,15,46,17,47,27,53,33,54,38,54,49,47,15,46,21,45,28,45,33,46,38,45,44,45,51,47,49,47,38,47,33,48,28,47,17,47,1,38
51,48,45,52,39,54,35,55,30,54,24,53,18,49,20,49,30,51,35,51,39,51,49,49,18,49,24,49,30,48,34,50,38,48,44,48,51,48,49,49,39,50,34,51,30,51,20,49,1,39
48,45,44,51,38,54,34,54,30,54,24,52,19,47,21,46,29,51,34,51,38,50,47,45,19,47,23,42,29,40,33,41,36,39,43,41,48,45,47,45,37,42,33,43,29,43,21,46,1,40
44,46,39,51,33,54,28,54,25,54,20,52,16,47,18,47,24,50,28,50,32,50,42,47,16,47,20,46,24,46,28,46,32,45,38,46,44,46,42,47,32,48,28,48,24,48,18,47,1,41
44,49,39,56,34,58,30,58,26,57,22,55,18,47,19,47,27,54,30,54,34,54,42,49,18,47,22,45,27,45,31,46,34,46,39,47,44,49,42,49,34,48,30,48,27,47,19,47,1,42
43,55,37,59,32,61,28,61,24,60,19,58,15,53,17,53,25,55,28,55,32,55,40,54,15,53,20,49,25,47,29,48,32,47,38,50,43,55,40,54,32,51,28,51,25,51,17,53,1,43
44,53,40,59,34,61,29,61,24,61,19,58,15,51,17,51,25,56,30,56,35,56,42,53,15,51,20,49,26,48,30,49,35,48,41,50,44,53,42,53,35,51,30,51,26,50,17,51,1,44
50,46,45,53,40,55,35,56,30,56,25,53,20,47,21,48,30,52,35,52,39,52,49,47,20,47,25,46,30,46,35,46,39,45,45,45,50,46,49,47,39,47,35,48,30,48,21,48,1,45
44,45,37,49,32,51,28,51,24,51,19,49,16,45,17,46,24,47,28,47,32,47,42,46,16,45,20,43,24,42,28,43,32,42,37,43,44,45,42,46,32,45,28,45,24,45,17,46,1,46
44,45,38,51,34,52,30,53,25,52,20,48,15,42,17,43,26,48,30,49,34,49,43,46,15,42,21,43,27,45,31,46,34,45,39,45,44,45,43,46,34,47,30,47,26,46,17,43,1,47
43,50,39,54,34,55,30,55,26,54,21,52,17,47,19,47,27,50,31,51,35,51,42,51,17,47,23,47,28,47,32,48,36,48,40,49,43,50,42,51,35,50,32,50,28,49,19,47,1,48
49,49,42,53,36,54,32,54,27,54,21,52,15,47,17,47,27,50,32,50,36,50,46,49,15,47,22,46,28,45,32,47,37,46,43,47,49,49,46,49,37,49,32,49,28,48,17,47,1,49
50,48,44,55,37,58,32,59,28,59,23,56,19,51,21,51,27,54,31,54,36,53,48,48,19,51,22,46,26,44,30,45,34,44,42,44,50,48,48,48,35,47,31,47,27,47,21,51,1,50
47,50,41,54,35,55,29,55,24,54,18,51,13,47,15,48,25,50,30,51,35,51,45,50,13,47,19,46,25,46,31,47,36,47,41,48,47,50,45,50,35,49,30,49,25,48,15,48,1,51
45,48,39,54,32,56,27,56,23,56,18,52,13,46,15,46,24,52,28,53,33,52,43,48,13,46,19,45,24,46,28,47,33,47,39,47,45,48,43,48,33,48,28,49,24,48,15,46,1,52
44,48,39,54,32,57,28,57,24,57,19,54,16,47,18,48,24,52,28,52,32,52,43,48,16,47,20,46,24,46,27,47,31,46,38,47,44,48,43,48,31,49,27,50,24,49,18,48,1,53
48,46,43,52,36,55,31,56,26,55,20,53,15,47,16,47,26,51,31,52,36,51,47,46,15,47,20,46,26,45,31,46,35,45,42,45,48,46,47,46,36,47,31,48,26,48,16,47,1,54
49,45,45,52,39,55,34,55,29,55,22,52,17,45,19,45,29,50,34,51,38,50,48,45,17,45,23,42,29,40,34,42,38,40,44,42,49,45,48,45,38,44,34,44,29,44,19,45,1,55
47,49,41,55,34,58,29,58,23,57,17,54,11,47,13,47,24,53,29,54,35,53,45,49,11,47,18,45,25,44,30,46,35,45,41,46,47,49,45,49,34,48,29,48,24,47,13,47,1,56
51,50,46,56,39,57,35,58,30,57,24,56,19,50,21,50,30,54,35,54,39,54,49,50,19,50,25,48,30,47,35,48,39,47,45,48,51,50,49,50,39,49,35,49,30,49,21,50,1,57
47,42,42,48,37,52,32,53,28,53,22,50,17,43,19,44,28,48,32,48,37,47,44,43,17,43,23,43,28,43,32,44,36,43,42,42,47,42,44,43,36,44,32,45,28,45,19,44,1,58
46,47,40,52,33,54,29,54,25,54,21,51,18,46,20,46,26,49,29,50,33,50,43,48,18,46,22,44,26,43,29,44,33,43,39,45,46,47,43,48,33,46,29,46,26,46,20,46,1,59
44,49,38,54,33,55,29,55,25,54,20,51,16,46,17,47,25,51,30,51,33,51,42,50,16,46,21,46,26,46,30,47,34,46,39,47,44,49,42,50,33,49,29,49,26,49,17,47,1,60
